"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X"
"1","Arab World","ARB","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT",134.223612133481,134.838634024836,135.570904783652,135.444640409094,135.274903822519,134.947174093516,134.233597198633,133.362234317723,130.872500014521,128.41215769665,126.075075760084,123.83897858097,121.764963301069,119.62901998022,117.47265486965,115.235836071937,112.91608695062,110.523806795287,106.66121118278,102.855229223282,99.1365791911073,95.5189912446412,91.9612154720002,88.1863303807996,84.3977554828814,80.5836965197877,76.7182897782589,72.8431343714919,71.5660615133582,70.3237130698704,69.4671600130625,68.2119854805064,67.3145946554563,65.2560593931021,63.1775517084491,60.9079023168178,58.7657355748331,56.590185962424,55.7400683349299,54.9328883944044,54.1698170703879,53.3133996019326,52.4857185292799,52.0345970263099,51.6295928418732,51.2672973217117,50.8772749401565,50.5433873681726,50.3169944090558,50.1046104372653,49.9001179322243,49.7237574729017,49.5390740285026,49.1112444700091,48.6475393890239,48.11455247461,47.4400688914731,NA,NA
"2","Arab World","ARB","Age at first marriage, female","SP.DYN.SMAM.FE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Arab World","ARB","Age at first marriage, male","SP.DYN.SMAM.MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Arab World","ARB","Age dependency ratio (% of working-age population)","SP.POP.DPND",88.2058102041107,89.6447342161671,90.9444984065416,92.0636312302324,92.8928810256546,93.3644592182944,94.2417762782682,94.6334458257547,94.6855128574872,94.5636130374136,94.3359977897322,94.5977173267513,94.6187250683932,94.4582200960042,94.182433231449,93.8510717356103,93.6827381393181,93.4365492669836,93.118514821308,92.7013287709092,92.167884202756,91.8822394948944,91.4361946978695,90.8759821306912,90.2631918706709,89.6285864725375,89.3781629139709,89.0248431468845,88.5898874736913,88.0443145798341,87.4813398865698,86.7261782925178,86.0581180690568,84.9067498061564,83.5981421599692,81.9464190070822,80.5768076612983,79.1426598702933,77.675807259833,76.197866861022,74.7148124657176,73.2195167125996,71.747229015842,70.3090971016105,68.9206181109492,67.60287661057,66.418678595391,65.2754520648483,64.2352931711411,63.3650268619003,62.6947151615853,62.3416961742781,62.1688542533564,62.1181878490802,62.0898579615104,62.0172343927312,62.0574752897263,61.9161803533744,NA
"5","Arab World","ARB","Age population, age 0, female, interpolated","SP.POP.AG00.FE.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Arab World","ARB","Age population, age 0, male, interpolated","SP.POP.AG00.MA.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Arab World","ARB","Age population, age 01, female, interpolated","SP.POP.AG01.FE.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Arab World","ARB","Age population, age 02, female, interpolated","SP.POP.AG02.FE.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Arab World","ARB","Age population, age 02, male, interpolated","SP.POP.AG02.MA.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Arab World","ARB","Age population, age 03, female, interpolated","SP.POP.AG03.FE.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
